"",description
138,"(0.15734029484029483, 0.3083538083538084)"
139,"(0.1605545805545805, 0.5016807066807067)"
140,"(0.29500000000000004, 0.45499999999999996)"
141,"(0.11495761183261183, 0.5856556637806638)"
142,"(0.16420454545454546, 0.49375)"
143,"(0.09545454545454546, 0.46439393939393947)"
144,"(0.09847402597402598, 0.3351911976911976)"
145,"(0.17210976864665392, 0.46907234159283345)"
146,"(0.19027777777777777, 0.4749999999999999)"
147,"(0.03657407407407407, 0.7231481481481481)"
148,"(0.19393939393939394, 0.4398674242424242)"
149,"(0.1561868686868687, 0.41275252525252526)"
150,"(1.0, 0.3)"
151,"(0.0, 0.5)"
152,"(-0.020422979797979798, 0.4095571095571096)"
153,"(1.0, 0.6)"
154,"(0.0625, 0.40994318181818185)"
155,"(0.20792748917748916, 0.5530370670995671)"
156,"(0.07561132561132564, 0.20938273438273436)"
157,"(0.14445259042033237, 0.3229576874738165)"
158,"(0.08075159489633173, 0.37962519936204153)"
159,"(0.07603174603174603, 0.33115079365079364)"
160,"(0.24574592074592078, 0.4952214452214452)"
161,"(0.12274962908765724, 0.4384082271406216)"
162,"(0.07754702194357366, 0.29354754440961334)"
163,"(0.09432171089779785, 0.35899680030114817)"
164,"(0.14537037037037037, 0.5628968253968254)"
165,"(0.17566738816738814, 0.555239898989899)"
166,"(0.11449502465127465, 0.4109983766233766)"
167,"(0.05887445887445887, 0.3825396825396825)"
168,"(0.05366826156299841, 0.29191729323308274)"
169,"(0.1621212121212121, 0.413039974210187)"
170,"(0.19336219336219343, 0.45646464646464646)"
171,"(0.16155440604593146, 0.385642747083425)"
172,"(-0.0606060606060606, 0.2857808857808858)"
173,"(0.11062409812409814, 0.4733585858585858)"
174,"(0.25424107142857144, 0.49174107142857143)"
175,"(0.07094930969930972, 0.3430885105885106)"
176,"(-0.00681818181818182, 0.5340909090909091)"
177,"(0.25, 0.3666666666666667)"
178,"(0.1251955034213099, 0.47529325513196485)"
179,"(0.08953403902034038, 0.3399921995812406)"
180,"(0.0, 0.0)"
181,"(0.1334127565982405, 0.44277946515849737)"
182,"(0.23753705533596844, 0.4058300395256917)"
183,"(0.1627326685660019, 0.4335021151687817)"
184,"(0.10195852534562212, 0.3581413210445468)"
185,"(0.21875, 0.5125)"
186,"(0.15666666666666665, 0.34833333333333333)"
187,"(0.20075108225108226, 0.4799718614718615)"
188,"(0.38333333333333336, 0.6055555555555556)"
189,"(0.2, 0.55)"
190,"(0.35, 0.33333333333333337)"
191,"(0.20331890331890332, 0.3845238095238095)"
192,"(0.20331890331890332, 0.3845238095238095)"
193,"(0.3333333333333333, 0.6203703703703703)"
194,"(0.1590909090909091, 0.35625)"
195,"(0.0, 0.0)"
196,"(0.22662815126050417, 0.5561157796451914)"
197,"(0.1254955121870883, 0.4381991106719369)"
198,"(0.11249999999999999, 0.44999999999999996)"
199,"(0.17224392838799624, 0.45248550884144095)"
200,"(0.16351095413595412, 0.4354832104832106)"
201,"(0.0, 0.0)"
202,"(0.146351867202931, 0.43037154728644084)"
203,"(0.11486868686868686, 0.5467474747474748)"
204,"(0.0, 0.0)"
205,"(0.35833333333333334, 0.5166666666666667)"
206,"(0.5333333333333333, 0.6666666666666667)"
207,"(0.028571428571428577, 0.38571428571428573)"
208,"(0.26607142857142857, 0.5005952380952382)"
209,"(0.11111111111111112, 0.4305555555555556)"
210,"(0.21651785714285715, 0.5739583333333335)"
211,"(0.17102597402597403, 0.3838095238095238)"
212,"(0.13819298980589304, 0.46013126658287945)"
213,"(0.16322510822510827, 0.5753391053391055)"
214,"(0.011840628507295173, 0.5480078563411899)"
215,"(0.1, 0.2)"
216,"(0.0, 0.0)"
217,"(0.24722222222222223, 0.6583333333333333)"
218,"(0.1784531664571987, 0.3976504678117581)"
219,"(0.11722537878787882, 0.47464663374819627)"
220,"(0.08973727422003283, 0.43284072249589495)"
221,"(0.12565151515151513, 0.40431060606060604)"
222,"(0.18747294372294376, 0.4395382395382396)"
223,"(0.125, 0.30833333333333335)"
224,"(0.15416666666666667, 0.4187689969604864)"
225,"(0.13437500000000002, 0.20401785714285714)"
226,"(0.041666666666666664, 0.06666666666666667)"
227,"(0.05, 0.10625000000000001)"
228,"(0.0975, 0.6482589285714286)"
229,"(0.2357142857142857, 0.6085839598997494)"
230,"(0.22267998517998525, 0.464052689052689)"
231,"(0.22524509803921575, 0.4302287581699346)"
232,"(0.11499999999999999, 0.54)"
233,"(0.04956140350877193, 0.38370927318295733)"
234,"(0.0633982683982684, 0.37331168831168826)"
235,"(0.06666666666666667, 0.23333333333333334)"
236,"(0.22749999999999998, 0.3775)"
237,"(0.2036866359447005, 0.40042242703533026)"
238,"(0.15313176406926401, 0.4597949735449735)"
239,"(0.19664589442815247, 0.5315738025415444)"
240,"(0.19158834586466164, 0.4956766917293233)"
241,"(0.045604395604395616, 0.5009157509157509)"
242,"(0.0, 0.0)"
243,"(0.13477891156462588, 0.4182823129251701)"
244,"(0.10289918414918411, 0.47918123543123553)"
245,"(0.10543831168831168, 0.3409052257266542)"
246,"(0.021180555555555553, 0.4236111111111111)"
247,"(0.08912337662337662, 0.3941017316017317)"
248,"(-0.009999999999999998, 0.33999999999999997)"
249,"(0.25, 0.25)"
250,"(0.2009331116038433, 0.48212305986696236)"
251,"(-0.03125, 0.46875)"
252,"(0.135, 0.425)"
253,"(0.325, 0.41666666666666663)"
254,"(0.17346938775510207, 0.7168367346938774)"
255,"(-0.25, 0.6285714285714286)"
256,"(0.12, 0.32166666666666666)"
257,"(0.3167951828986985, 0.6402641802641803)"
258,"(0.2017857142857143, 0.4510204081632653)"
259,"(0.22258827110389612, 0.4578348214285714)"
